#  aims_uuid : 2629B1BA-6A77-49DA-A72B-C9553E4AF96E                                

Atom number     1:


  Spin channel: up

    State       eigenvalue  occ.number       total         l=0         l=1         l=2         l=3

k point number:     1: (   0.00000000   0.00000000   0.00000000 ); weight:   1.00000000

        1      -7055.42451   1.0000000     1.00000     1.00000     0.00000     0.00000     0.00000
        2       -819.39697   1.0000000     1.00000     1.00000     0.00000     0.00000     0.00000
        3       -697.68615   1.0000000     1.00000     0.00000     1.00000     0.00000     0.00000
        4       -697.68615   1.0000000     1.00000     0.00000     1.00000     0.00000     0.00000
        5       -697.68615   1.0000000     1.00000     0.00000     1.00000     0.00000     0.00000
        6        -94.21622   1.0000000     1.00000     1.00000     0.00000     0.00000     0.00000
        7        -60.24806   1.0000000     1.00000     0.00000     1.00000     0.00000     0.00000
        8        -60.24806   1.0000000     1.00000     0.00000     1.00000     0.00000     0.00000
        9        -60.24806   1.0000000     1.00000     0.00000     1.00000     0.00000     0.00000
       10         -7.75947   1.0000000     1.00000     0.00000     0.00000     1.00000     0.00000
       11         -7.75947   1.0000000     1.00000     0.00000     0.00000     1.00000     0.00000
       12         -7.75947   1.0000000     1.00000     0.00000     0.00000     1.00000     0.00000
       13         -7.75947   1.0000000     1.00000     0.00000     0.00000     1.00000     0.00000
       14         -7.75947   1.0000000     1.00000     0.00000     0.00000     1.00000     0.00000
       15         -5.28984   1.0000000     1.00000     1.00000     0.00000     0.00000     0.00000
       16          1.97280   0.0000000     1.00000     0.00000     1.00000     0.00000     0.00000
       17          1.97280   0.0000000     1.00000     0.00000     1.00000     0.00000     0.00000
       18          1.97280   0.0000000     1.00000     0.00000     1.00000     0.00000     0.00000
       19          7.02019   0.0000000     1.00000     1.00000     0.00000     0.00000     0.00000

  Spin channel: down

    State       eigenvalue  occ.number       total         l=0         l=1         l=2         l=3

k point number:     1: (   0.00000000   0.00000000   0.00000000 ); weight:   1.00000000

        1      -7055.39687   1.0000000     1.00000     1.00000     0.00000     0.00000     0.00000
        2       -817.65195   1.0000000     1.00000     1.00000     0.00000     0.00000     0.00000
        3       -696.34923   1.0000000     1.00000     0.00000     1.00000     0.00000     0.00000
        4       -696.34923   1.0000000     1.00000     0.00000     1.00000     0.00000     0.00000
        5       -696.34923   1.0000000     1.00000     0.00000     1.00000     0.00000     0.00000
        6        -90.21022   1.0000000     1.00000     1.00000     0.00000     0.00000     0.00000
        7        -56.31939   1.0000000     1.00000     0.00000     1.00000     0.00000     0.00000
        8        -56.31939   1.0000000     1.00000     0.00000     1.00000     0.00000     0.00000
        9        -56.31939   1.0000000     1.00000     0.00000     1.00000     0.00000     0.00000
       10         -4.36286   0.8038502     1.00000     1.00000     0.00000     0.00000     0.00000
       11         -4.30756   0.2392304     1.00000     0.00000     0.00000     1.00000     0.00000
       12         -4.30756   0.2392303     1.00000     0.00000     0.00000     1.00000     0.00000
       13         -4.30756   0.2392301     1.00000     0.00000     0.00000     1.00000     0.00000
       14         -4.30756   0.2392297     1.00000     0.00000     0.00000     1.00000     0.00000
       15         -4.30756   0.2392293     1.00000     0.00000     0.00000     1.00000     0.00000
       16          3.26433   0.0000000     1.00000     0.00000     1.00000     0.00000     0.00000
       17          3.26433   0.0000000     1.00000     0.00000     1.00000     0.00000     0.00000
       18          3.26433   0.0000000     1.00000     0.00000     1.00000     0.00000     0.00000
       19          8.16751   0.0000000     1.00000     1.00000     0.00000     0.00000     0.00000
